"time","r"
"1997-1",0.119707109364748
"1997-2",0.11828661254396
"1997-3",0.119115480890162
"1997-4",0.14510993517511
"1998-1",0.204599331890605
"1998-2",0.169602117719291
"1998-3",0.111690439352696
"1998-4",0.0754784611759056
"1999-1",0.0653506912381295
"1999-2",0.0601539228197471
"1999-3",0.0690906444847938
"1999-4",0.0687795153948256
"2000-1",0.0689350920399737
"2000-2",0.0688106326602429
"2000-3",0.0684060326640604
"2000-4",0.0674093962292541
"2001-1",0.0576728185450479
"2001-2",0.0562278734971013
"2001-3",0.0485286031367559
"2001-4",0.044762093096813
"2002-1",0.0455986359809047
"2002-2",0.0470008985021908
"2002-3",0.0472913456447659
"2002-4",0.047903906101601
"2003-1",0.0456377350439019
"2003-2",0.0433954671802781
"2003-3",0.0389101352943553
"2003-4",0.0408029943397529
"2004-1",0.0399832428632076
"2004-2",0.0383107784805743
"2004-3",0.0365186531730843
"2004-4",0.0338698845076153
"2005-1",0.0347282654060288
"2005-2",0.0345151805756193
"2005-3",0.0350458446393592
"2005-4",0.038980299640884
"2006-1",0.0413749844475375
"2006-2",0.042951136128751
"2006-3",0.045423960639193
"2006-4",0.0453933006507987
"2007-1",0.0481647766458904
"2007-2",0.0488884696325298
"2007-3",0.0506043904842382
"2007-4",0.053442966316322
"2008-1",0.0531910826107608
"2008-2",0.052309361353137
"2008-3",0.0553120054154551
"2008-4",0.0529481743180958
"2009-1",0.0273217004933903
"2009-2",0.0238482763656711
"2009-3",0.024769475860705
"2009-4",0.0276273264921208
"2010-1",0.0282114043746164
"2010-2",0.024429792846532
"2010-3",0.0258951412920889
"2010-4",0.0269605488580977
"2011-1",0.0309187185632202
"2011-2",0.0340585286011591
"2011-3",0.0352338383888082
"2011-4",0.0349960566531898
"2012-1",0.0347862677289939
"2012-2",0.0347957419310527
"2012-3",0.0317378584120788
"2012-4",0.0284432413027185
"2013-1",0.0279499964771748
"2013-2",0.0270046505987318
"2013-3",0.0263230686741593
"2013-4",0.026185883476962
"2014-1",0.026162942559437
"2014-2",0.0261549574768512
"2014-3",0.0248499566209064
"2014-4",0.021371579474218
"2015-1",0.0203972217349635
"2015-2",0.0175515185982294
"2015-3",0.0161748285198117
"2015-4",0.0159886845324689
"2016-1",0.0162915687768858
"2016-2",0.01525356244314
"2016-3",0.0134160525630659
"2016-4",0.0142911434042411
"2017-1",0.0147662468300384
"2017-2",0.0139094797726253
"2017-3",0.0137626709776624
"2017-4",0.0149293794558701
